"","Drone_1","Drone_2","Drone_3","Drone_4","Drone_5","Drone_6","Queen_1","Queen_2","Queen_3","Queen_4","queen_5","Queen_6","Worker_1","Worker_2","Worker_3","Worker_4","Worker_5","Worker_6"
"LOC412735",21.581,32.457,31.528,24.664,24.195,29.042,34.883,38.312,33.873,41.575,38.462,40.2,26.327,31.595,28.419,20.988,25.856,22.282
"LOC100577538",0.226,0.361,0.218,0.096,0.224,0.274,0.364,0.158,0.093,0.053,0.268,0.061,0.211,0,0.152,0.25,0.155,0.391
"LOC724727",34.941,31.974,35.938,35.685,30.66,31.762,30.195,25.482,28.917,28.255,25.458,25.943,32.02,29.487,34.325,30.386,30.025,28.163
"LOC113218945",1.144,0.928,1.458,1.204,1.355,1.517,0.617,0.925,1.14,1.02,0.636,0.88,1.25,1.036,0.999,1.077,1.177,0.451
"LOC551210",12.565,13.717,12.542,15.28,15.151,13.267,20.476,17.559,18.524,14.945,20.527,18.388,15.031,15.88,19.353,16.949,17.733,20.174
"LOC113218987",13.61,14.854,12.501,21.497,21.784,20.873,21.737,23.859,23.068,10.093,13.632,13.002,25.272,12.764,29.133,27.453,18.671,19.001
"LOC100577932",1.296,1.341,2.04,1.051,1.769,1.94,0.379,1.644,0.868,1.044,0.837,1.2,1.921,1.582,0.894,1.771,0.966,1.069
"LOC102654895",1.738,1.934,1.3,2.133,2.289,0.935,1.953,1.437,0.79,1.441,0.731,1.449,1.799,1.788,1.724,1.877,2.11,1.001
"LOC551883",3.328,3.01,3.974,4.119,3.735,5.187,2.999,2.911,3.355,3.084,2.546,2.292,3.838,3.102,2.745,3.944,3.371,2.371
"LOC100578161",60.074,54.599,58.543,60.591,48.736,56.43,49.262,58.379,53.834,55.657,58.475,65.343,60.701,58.534,60.087,60.442,53.499,57.378
"LOC409547",109.42,121.006,116.186,118.209,122.077,114.265,137.994,127.966,116.576,136.49,138.129,130.829,94.997,96.357,92.372,113.202,113.327,130.014
"TRNAA-GGC",14.081,5.494,17.409,8.545,6.357,7.793,1.849,1.871,6.586,20.643,30.477,10.783,7.494,3.725,10.775,14.223,27.476,22.599
"LOC408711",39.473,38.24,42.147,37.476,43.288,42.995,44.556,48.607,48.641,46.394,44.962,40.663,35.065,39.281,42.768,37.745,31.725,43.704
"LOC724358",7.267,4.768,6.17,7.685,7.36,6.477,2.274,2.966,2.357,3.804,2.05,1.948,4.464,4.491,3.347,5.09,3.643,1.988
"LOC102653904",0.15,0.218,0.317,0.254,0.213,0.406,0.11,0.139,0.319,0.112,0.17,0.193,0.223,0.277,0.134,0.132,0.191,0.155
"LOC113218601",169.55,89.968,114.364,171.035,140.137,158.098,151.198,139.221,153.968,161.572,159.808,120.512,246.433,148.801,172.146,212.91,199.09,129.564
"LOC102654656",0.906,2.391,3.92,2.001,1.36,7.018,1.665,1.685,2.373,3.296,2.745,3.107,1.181,3.355,2.103,1.441,1.65,1.096
"Mir1006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC113218520",0.185,0.422,0,0.236,0.073,0.09,0,0,0,0,0,0.099,0.086,0,0,0.164,0.084,0
"LOC102655219",0.848,1.458,1.359,0.961,1.34,1.186,4.938,2.542,4.242,1.758,3.034,2.223,3.862,2.356,5.216,2.665,2.231,2.362
"LOC409671",80.772,84.951,77.344,78.597,78.431,80.12,83.417,78.113,83.364,88.603,92.046,91.813,72.992,73.994,71.706,81.816,76.421,86.278
"LOC107965231",8.934,13.057,5.426,9.788,12.261,7.515,8.43,12.028,7.891,7.897,11.355,11.847,9.635,8.49,9.236,7.897,8.35,9.753
"LOC551269",64.122,67.662,71.586,71.128,69.835,73.352,95.035,86.61,99.148,83.834,88.291,91.135,69.621,79.334,78.965,76.817,80.318,92.094
"LOC100576993",125.43,127.516,137.693,112.883,109.551,100.25,47.668,75.538,60.287,74.416,49.628,63.801,87.428,109.107,62.202,76.806,71.078,41.712
"LOC100576260",0.601,0.584,0.809,0.238,0.443,0.931,0.626,0.522,0.525,0.635,0.683,0.773,0.56,0.964,0.358,0.637,0.547,0.866
"LOC409593",26.997,28.764,28.639,31.244,34.683,33.236,30.475,34.326,30.156,25.792,29.857,30.055,29.548,26.616,30.983,34.563,34.844,35.026
"LOC102653584",0.132,1.322,1.143,0.561,0.835,0.895,0.121,0.246,0.324,0.985,0,0.566,0.492,1.222,0.118,0.583,0.481,0.799
"LOC552645",105.606,90.709,98.088,94.419,94.576,104.691,204.856,109.868,149.371,121.345,157.959,119.506,115.998,109.785,158.689,136.379,126.755,163.248
"Mir6046",7.065,17.688,11.889,9.004,16.747,8.554,14.614,11.5,26.024,3.296,13.38,1.894,4.935,13.083,9.461,1.561,3.217,4.579
"LOC412816",11.323,11.42,10.889,10.6,12.751,11.296,10.722,9.776,11.323,11.893,13.227,11.122,10.736,10.861,12.047,12.106,11.793,15.001
"LOC410060",20.627,20.113,17.589,22.053,22.109,23.994,11.029,15.506,12.575,13.692,10.357,12.861,16.862,18.378,13.687,14.624,12.088,7.89
"TRNAT-CGU_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC552342",59.433,88.406,64.803,62.499,74.564,86.658,59.263,84.285,68.967,59.664,54.835,79.819,49.43,74.18,43.405,43.026,45.372,46.469
"LOC552493",145.29,132.837,139.866,131.682,139.851,142.665,248.756,165.923,204.606,168.721,218.765,160.883,162.417,170.725,206.12,192.22,190.332,247.799
"LOC409860",19.223,17.909,18.773,21.153,19.171,17.716,27.214,21.457,25.3,18.562,22.092,22.851,19.574,20.564,24.828,20.554,21.992,24.258
"LOC100576565",5.692,4.784,5.895,7.348,5.276,5.62,6.642,5.804,8.961,6.128,6.427,6.572,6.933,6.183,6.744,6.096,7.576,7.474
"LOC725792",2.598,2.118,2.07,2.817,2.651,2.235,0.677,0.902,0.73,1.031,0.643,0.728,1.644,1.67,1.333,1.371,1.713,0.603
"LOC551676",161.26,145.686,141.019,141.558,155.196,134.913,178.032,177.19,164.305,170.683,196.493,164.491,156.961,164.618,162.485,168.373,176.255,179.076
"LOC409819",30.617,24.638,24.811,26.306,27.725,25.213,20.979,26.879,24.5,25.997,24.541,27.293,28.41,26.756,29.895,29.595,29.656,28.045
"LOC724167",8.58,8.066,8.609,5.943,8.474,7.588,13.632,10.149,11.375,9.919,12.099,10.598,10.597,9.757,14.155,10.303,13.248,16.441
